gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,Cluster,PCA1,PCA2
Male,0,0,0,30,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),84.3,2438.6,0,25-48,3,0.30446437543086535,0.5693667978815259
Male,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,45.6,45.6,0,0-12,1,-1.6927462890539653,0.33166087130771565
Female,0,0,0,12,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,1,Mailed check,61.65,713.75,1,0-12,3,-0.9833420638309273,0.46437630599039487
Male,0,0,0,16,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,0,Mailed check,54.85,916.15,0,13-24,1,-0.94129791224328,0.1809007405846796
Male,0,0,0,4,1,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,0,Mailed check,65.55,237.2,0,0-12,3,-1.2450938986655062,0.7777718329502346
Male,0,1,0,51,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,1,Credit card (automatic),90.35,4614.55,0,49-72,0,1.5259568680749322,0.1507959303559172
Male,0,1,0,65,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),20.4,1414.45,0,49-72,2,-0.21887623137319606,-1.9516868923645858
Male,0,0,0,16,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Credit card (automatic),74.55,1170.5,0,13-24,3,-0.5486002712565504,0.6929294064855878
Male,0,0,0,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.95,47.7,0,0-12,1,-2.083147519675536,-0.3687186671703723
Female,0,1,1,66,1,Yes,Fiber optic,No,No,No,No,No,No,One year,1,Bank transfer (automatic),74.25,4859.25,0,49-72,0,1.6844763341732873,-0.6508063716919427
Male,0,0,0,46,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,108.65,4903.2,0,25-48,0,1.7905636087088974,0.7486796390117162
Female,0,0,0,32,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),109.55,3608.0,0,25-48,0,1.1014947744071766,1.153480947294361
Male,0,1,0,72,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),86.65,6094.25,0,49-72,0,2.3857300549147795,-0.5058352375468552
Male,0,1,1,38,1,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),81.0,3084.9,0,25-48,3,0.6257135546228132,0.2672047401948678
Male,0,0,1,51,1,No,DSL,No,No,No,Yes,No,No,One year,0,Credit card (automatic),47.85,2356.75,0,49-72,2,0.17726850751294929,-0.9078241940067433
Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),114.55,8306.05,0,49-72,0,3.485198620222751,0.16947552189049503
Female,1,1,0,65,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),105.25,6786.4,1,49-72,0,2.7273594887960693,0.13854861089824497
Male,0,1,1,9,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,29.95,248.95,1,0-12,1,-1.700867873292428,-0.28386171369454083
Female,0,1,1,9,1,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,0,Mailed check,65.0,663.05,1,0-12,3,-1.0134635043093183,0.6281682027876658
Male,0,0,1,66,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.55,1357.1,0,49-72,2,-0.2101723447301644,-1.9709227080855287
Female,1,0,0,44,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),109.8,4860.35,0,25-48,0,1.7503363047974778,0.8295840798584456
Male,0,0,0,50,1,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,0,Bank transfer (automatic),69.5,3418.2,0,49-72,0,0.8151683777638263,-0.3414321713069362
Female,0,0,0,15,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,48.85,631.4,0,13-24,1,-1.1448352245140276,0.05526379234111176
Male,0,0,0,8,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),25.25,186.3,0,0-12,1,-1.8182449220261263,-0.38123729372601667
Female,1,0,0,66,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),102.85,6976.75,0,49-72,0,2.767575963414294,0.0454802708906475
Female,0,0,0,57,1,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Bank transfer (automatic),87.55,4884.85,0,49-72,0,1.6987272849569999,-0.07861318687218649
Female,0,0,0,7,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),78.55,522.95,0,0-12,3,-0.8820249375786948,1.038292911492695
Male,1,1,1,10,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),34.55,362.6,0,0-12,1,-1.570140307927768,-0.19049300007410436
Female,0,0,0,62,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,1,Electronic check,92.05,5755.8,0,49-72,0,2.142498368911023,-0.10718803868565936
Male,0,1,1,40,1,No,Fiber optic,No,No,Yes,No,Yes,No,One year,1,Electronic check,85.05,3355.65,0,25-48,0,0.8167698404668847,0.31712718077666696
Female,0,0,0,20,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.7,406.95,0,13-24,1,-1.5657805042820414,-0.830125167260689
Female,0,0,0,7,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.0,137.6,1,0-12,1,-1.9404085242161833,-0.49347481092276185
Female,0,1,0,25,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,95.15,2395.7,0,25-48,3,0.35150086407829395,0.9799515068559776
Male,0,1,0,23,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Electronic check,84.25,1968.1,0,13-24,3,0.0038241607753302623,0.7538302762559114
Female,1,1,0,66,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,0,Credit card (automatic),104.6,6819.45,0,49-72,0,2.7496733917030642,0.09580801584214467
Female,1,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,111.65,7943.45,0,49-72,0,3.331978572706656,0.10285435515465247
Male,1,1,0,49,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),90.05,4547.25,1,49-72,0,1.4551444056999523,0.194167208068188
Male,1,1,1,43,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),110.75,4687.9,1,25-48,0,1.6919615320613826,0.8839791467340522
Female,0,1,0,46,1,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),55.0,2473.95,0,25-48,2,0.21154577311230513,-0.599003437052124
Male,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),89.85,6562.9,0,49-72,0,2.5749122047824033,-0.434167391173188
Male,0,0,0,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.35,176.3,0,0-12,1,-1.8540705285245078,-0.5594897755498932
Female,0,0,0,40,0,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,1,Bank transfer (automatic),54.55,2236.2,0,25-48,2,-0.004145762796643453,-0.45607198253959264
Female,0,1,1,65,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.5,6985.65,1,49-72,0,2.7898622200747263,0.13976929660250065
Male,0,0,0,31,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),99.45,3109.9,0,25-48,3,0.7691577906979484,0.9255981898419356
Female,0,1,0,68,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Credit card (automatic),70.9,4911.35,0,49-72,0,1.6918981480115285,-0.7899053824421317
Male,1,1,1,56,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),104.55,5794.65,1,49-72,0,2.2170523253899366,0.3693856053358516
Male,0,1,0,10,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.25,855.3,1,0-12,3,-0.6069976459453479,1.13162448279105
Male,0,1,1,68,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.4,1620.2,0,49-72,2,-0.008444547556057079,-1.899723211953596
Female,0,1,1,43,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,56.15,2499.3,1,25-48,2,0.16822012405051415,-0.4952044418663441
Male,0,0,0,1,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.55,89.55,1,0-12,3,-0.9702624161148066,1.4880717315905636
Female,1,0,0,49,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,1,Bank transfer (automatic),89.85,4287.2,0,49-72,0,1.375608253881425,0.19590027157683976
Female,0,1,1,15,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,25.25,394.85,0,13-24,1,-1.5952765802562587,-0.5599657255233823
Male,1,1,0,20,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.55,1899.65,1,13-24,3,0.08070438172162671,1.1011552815650132
Male,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,45.7,45.7,1,0-12,1,-1.6911024122099627,0.3342920678043775
Male,0,1,1,50,1,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,1,Electronic check,69.65,3442.15,0,49-72,0,0.824617883141458,-0.338126099535763
Female,1,0,0,2,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,89.5,161.5,1,0-12,3,-0.9268467928465125,1.4600872361069852
Male,1,0,0,24,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),70.0,1732.6,0,13-24,3,-0.27223976668016103,0.3601105006023522
Female,0,0,0,3,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),69.55,222.3,1,0-12,3,-1.2079951284054684,0.9082590778708685
Female,0,0,0,1,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Mailed check,74.6,74.6,1,0-12,3,-1.2160220042932008,1.0947078553396288
Male,0,1,1,35,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.1,655.3,0,25-48,2,-1.139791964718815,-1.1972341107957611
Female,0,0,0,17,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,24.8,475.25,0,13-24,1,-1.5327291560581033,-0.6234438346575659
Female,1,0,0,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.65,164.3,1,0-12,1,-1.915114315955429,-0.5281427909520742
Male,0,0,0,10,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),95.1,865.1,0,0-12,3,-0.44509044842896994,1.390798683768902
Male,0,1,1,68,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),88.85,6132.7,0,49-72,0,2.3400905406836405,-0.3500025031692629
Male,0,1,0,45,1,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,0,Bank transfer (automatic),78.8,3597.5,0,25-48,0,0.902380265349242,0.022345388381353144
Male,0,1,1,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.85,35.9,1,0-12,1,-2.088224555103826,-0.37103488640679516
Male,0,1,0,37,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.35,697.65,0,25-48,2,-1.0771079064708584,-1.241250650535854
Female,0,0,0,4,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,24.25,96.05,1,0-12,1,-1.9533142561480914,-0.3062242450057035
Female,0,0,0,10,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,45.25,428.7,0,0-12,1,-1.3779893330067057,0.08955359428090663
Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,20.05,0,0-12,1,-2.112756822696639,-0.3406098335893669
Male,0,1,1,65,1,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,1,Mailed check,69.55,4459.15,0,49-72,0,1.4680805363568699,-0.7390974152731911
Female,0,1,1,57,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.5,1167.6,0,49-72,2,-0.4907242668553359,-1.7709018030159687
Female,0,0,0,3,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Mailed check,74.75,238.1,0,0-12,3,-1.1194031495264383,1.0447959316837305
Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,69.65,145.15,1,0-12,3,-1.2521293331293257,0.9377005075528856
Male,0,0,0,49,0,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),30.2,1453.1,0,49-72,2,-0.4190776881966131,-1.298917100248558
Female,0,0,0,4,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,45.65,191.05,1,0-12,1,-1.5799279900098555,0.2548704098650785
Female,0,1,0,70,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),57.8,4039.3,0,49-72,2,1.2707274217413511,-1.160929367278163
Female,0,1,1,53,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.85,1039.45,0,49-72,2,-0.6151184836202982,-1.6593109471065859
Male,0,1,1,53,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.55,1336.1,0,49-72,2,-0.4360433590592893,-1.5171654505461427
Female,0,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,75.05,75.05,1,0-12,3,-1.208624558495189,1.106548239574607
Male,0,0,0,22,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),24.85,493.4,0,13-24,1,-1.4110439322588042,-0.7462683870918225
Male,1,0,0,52,0,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,49.15,2550.9,1,49-72,2,0.27833776859503484,-0.9035409557511908
Male,1,0,0,65,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Electronic check,110.35,7246.15,0,49-72,0,2.944606229237324,0.26049993894870677
Female,0,0,0,48,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),24.55,1203.95,0,25-48,2,-0.6065179409068443,-1.4162938307045299
Female,0,0,0,2,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,34.7,62.25,1,0-12,1,-1.8407343716566733,0.019388200313909507
Male,0,0,0,3,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Mailed check,107.95,313.6,0,0-12,3,-0.5612238485897543,1.9172144046345745
Male,0,1,0,45,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),81.4,3775.85,0,25-48,0,0.996691800147031,0.0860251081076355
Male,0,1,1,1,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,80.0,80.0,1,0-12,3,-1.1272526547170585,1.2367924661593646
Female,0,1,1,61,1,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),73.8,4616.05,0,49-72,0,1.4902960238560814,-0.5324587726364102
Male,0,0,0,3,1,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),64.4,195.65,0,0-12,3,-1.2989635815606793,0.7733312626598934
Female,1,0,0,40,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),103.75,4188.4,0,25-48,0,1.363043421025227,0.7872457770457872
Female,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,71.1,71.1,0,0-12,3,-1.273557693833293,1.002615977956467
Female,0,0,0,1,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,49.9,49.9,0,0-12,1,-1.622059584761852,0.44480232066417175
Male,0,0,0,51,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),24.6,1266.4,0,49-72,2,-0.5180545275461413,-1.4908498380788044
Male,1,0,0,2,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.25,91.1,1,0-12,1,-1.5973542081401608,0.4018423183712383
Male,0,0,0,52,0,No phone service,DSL,No,Yes,No,No,No,No,One year,0,Mailed check,30.1,1623.4,0,49-72,2,-0.3013893954777218,-1.380327384770032
Male,0,0,0,51,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),83.4,4149.45,0,49-72,0,1.2772713927679187,-0.01973830891604891
Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.45,20.45,0,0-12,1,-2.1061813153206286,-0.33008504760271984
Male,0,1,1,31,1,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,1,Bank transfer (automatic),75.25,2344.5,0,25-48,3,0.15384753097290926,0.3088025816915964
Male,0,0,1,47,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),20.55,1013.05,0,25-48,2,-0.7502259542490942,-1.4917795551134057
Female,0,0,0,3,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),75.1,270.7,1,0-12,3,-1.1041863870388162,1.0531369128713877
Female,1,0,0,22,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,20.05,417.0,0,13-24,1,-1.5109597775773398,-0.870638265783458
Female,0,1,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.65,20.65,0,0-12,1,-2.102893561632623,-0.32482265460939636
Male,0,1,0,72,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),85.15,6316.2,0,49-72,0,2.4266393625674785,-0.5513187122446803
Male,0,1,1,3,1,No,DSL,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,50.15,168.15,1,0-12,1,-1.5371040105696712,0.3987424669025282
Male,1,1,1,47,1,No,Fiber optic,No,Yes,No,No,Yes,No,One year,1,Bank transfer (automatic),84.95,4018.05,0,25-48,0,1.1712979241395283,0.12354670399669887
Male,0,1,1,72,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),66.5,4811.6,0,49-72,0,1.684030519338593,-1.0020334007650762
Male,0,1,1,66,1,Yes,DSL,No,No,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),63.3,4189.7,0,49-72,0,1.3112172690189519,-0.921192129649618
Male,0,0,0,35,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,83.15,2848.45,0,25-48,3,0.521712650415514,0.4043905741926346
Male,0,0,0,29,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.9,2516.2,0,25-48,3,0.31381149609166603,0.6078116252270339
Female,0,0,0,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.55,33.6,0,0-12,1,-2.077597714268702,-0.3525357475301017
Male,0,0,0,4,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.25,208.45,0,0-12,1,-1.516699057090447,0.3492219721046203
Female,0,0,0,25,1,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),79.85,2015.35,1,25-48,3,-0.007129775207455815,0.5872060025975175
Female,0,0,0,65,1,No,DSL,Yes,Yes,No,Yes,No,No,Two year,1,Mailed check,59.6,3739.8,0,49-72,2,1.0963538758748854,-0.9818036146898774
Male,1,0,0,27,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Bank transfer (automatic),104.65,2964.0,0,25-48,3,0.717860029584644,1.1654104934532088
Male,0,1,0,29,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),75.3,2263.4,0,25-48,3,0.08463656969145392,0.3617639811791389
Male,0,1,1,29,1,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Credit card (automatic),80.1,2211.8,0,25-48,3,0.14699307323316893,0.48957976494005606
Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.55,19.55,1,0-12,1,-2.120976206916652,-0.35376581607267577
Female,0,1,0,20,1,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,1,Mailed check,81.0,1683.7,0,13-24,3,-0.20143163982532789,0.750076993658145
Female,0,0,0,58,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.7,1519.0,0,49-72,2,-0.28054595681437067,-1.6681302571904062
Female,0,0,1,14,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,1,Mailed check,86.0,1164.05,0,13-24,3,-0.4118496757015184,1.044144444907947
Male,0,1,0,72,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.4,1710.9,0,49-72,2,0.1106114950444471,-2.0010872612838893
Male,0,0,0,46,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.15,4245.55,0,25-48,0,1.282753765105899,0.25277604341237486
Female,0,1,0,71,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),58.25,4145.9,0,49-72,0,1.3323831442427707,-1.1766772369824638
Male,0,0,0,32,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),85.65,2664.3,0,25-48,3,0.4387091261411757,0.5493870430509895
Female,0,0,0,26,0,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),50.35,1277.5,0,25-48,1,-0.6768158227756088,-0.1946579547403433
Male,1,1,0,68,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),80.35,5589.3,0,49-72,0,2.043404040846375,-0.5592540911545855
Male,0,1,1,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.2,34.75,0,0-12,1,-2.082911134686264,-0.36178531696844834
Male,0,1,1,61,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.55,1305.95,0,49-72,2,-0.3407335695271803,-1.8458928139455995
Female,0,1,1,4,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.95,381.3,1,0-12,3,-0.8734454398499629,1.3112057740733754
Male,0,0,0,3,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.35,141.5,1,0-12,1,-1.6224215960960442,0.273033261826543
Male,1,1,0,33,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.5,3105.55,1,25-48,3,0.7341828102160645,0.7458766593096119
Male,1,1,0,9,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,21.25,204.55,0,0-12,1,-1.8543606938880988,-0.5118147244433856
Female,0,0,0,22,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,26.25,605.9,0,13-24,1,-1.3554293215099178,-0.7124225740541608
Female,0,1,1,5,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.85,356.1,0,0-12,3,-0.940070717341655,1.1528252918902586
Female,1,0,0,30,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,0,Credit card (automatic),91.7,2758.15,1,25-48,3,0.5177061723217052,0.7556719068581199
Male,0,0,0,65,1,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),74.2,4805.65,0,49-72,0,1.64483066105929,-0.6259497676154026
Female,0,0,0,45,1,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,1,Electronic check,87.25,3941.7,1,25-48,0,1.1398077727422105,0.23564272182574683
Male,0,0,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,92.75,0,0-12,1,-1.9941389617087815,-0.4335876366893018
Male,0,1,1,25,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,75.5,1901.05,0,25-48,3,-0.11090130564314392,0.47570893360497696
Female,0,1,1,72,1,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,0,Bank transfer (automatic),79.05,5730.7,0,49-72,0,2.156348167071678,-0.6962235938758781
Female,0,1,0,27,1,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,0,Bank transfer (automatic),90.15,2423.4,0,25-48,3,0.325123123854377,0.7980502096946671
Male,0,1,1,32,0,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,0,Credit card (automatic),50.6,1653.45,0,25-48,2,-0.4238010022584784,-0.34657768710235914
Female,0,0,0,30,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),110.45,3327.05,0,25-48,3,0.9873648921231198,1.234210588467629
Male,0,1,0,70,1,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),101.0,7085.5,0,49-72,0,2.8620595883176145,-0.10509664418162892
Male,1,0,0,42,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),79.35,3344.1,0,25-48,0,0.7675731449482582,0.11784531782951169
Female,1,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),89.85,6697.35,0,49-72,0,2.6143641852659467,-0.43778693755260145
Female,0,0,0,47,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Mailed check,65.0,2879.9,0,25-48,2,0.5152284314575595,-0.3712737857711464
Female,0,0,0,2,1,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Electronic check,80.45,137.1,0,0-12,3,-1.0801218339183933,1.2223771925560751
Male,0,0,0,10,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,98.55,1008.55,1,0-12,3,-0.34729616724248147,1.4778060042342063
